"Combined unit of measure: Tonnes of CO2-equivalent, Thousands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,"806,301.84","815,170.02","794,899.52","775,932.80","763,724.11","757,644.22","778,384.73","754,225.94","752,806.84","723,801.61","723,919.58","727,063.54","705,879.64","711,313.29","707,930.97","699,595.39","692,195.48","680,031.35","658,727.31","601,900.31","615,724.59","570,233.52","586,328.48","572,040.66","531,430.16","513,880.19","488,309.31","476,874.21","467,869.95","453,233.65","408,965.08","429,489.47"
United States,,"6,487,330.95","6,418,406.19","6,534,880.13","6,639,525.50","6,745,166.79","6,821,933.72","7,023,529.63","7,079,206.86","7,124,684.27","7,169,885.43","7,369,162.97","7,253,522.31","7,293,277.74","7,352,702.36","7,464,364.92","7,477,358.36","7,407,921.50","7,511,447.96","7,294,541.72","6,840,741.54","7,058,197.91","6,907,203.24","6,670,533.53","6,841,661.09","6,898,525.60","6,737,358.64","6,578,432.36","6,561,824.44","6,754,831.65","6,617,916.88","6,025,973.61","6,340,228.29"
European Union (28 countries),,"5,657,987.35","5,554,573.05","5,385,811.99","5,285,472.73","5,249,835.76","5,294,873.94","5,408,864.70","5,312,368.26","5,271,946.12","5,166,089.87","5,155,594.61","5,206,084.13","5,172,149.06","5,260,743.78","5,262,043.65","5,226,495.34","5,215,586.09","5,164,853.02","5,046,971.79","4,675,074.81","4,779,612.47","4,626,768.71","4,568,546.27","4,471,235.92","4,293,697.12","4,325,015.41","4,302,752.66","4,317,624.81","4,223,100.18","4,057,594.57",,
European Union (27 countries from 01/02/2020),,"4,860,553.45","4,755,619.50","4,605,654.44","4,527,256.35","4,503,905.86","4,554,457.56","4,645,355.28","4,574,168.43","4,535,002.61","4,458,980.30","4,446,889.20","4,495,319.80","4,480,931.20","4,561,695.82","4,564,128.22","4,537,296.30","4,533,404.38","4,498,310.54","4,404,071.85","4,089,028.70","4,176,794.13","4,066,020.16","3,991,710.90","3,905,193.39","3,764,333.02","3,809,061.47","3,811,406.65","3,832,777.04","3,747,655.89","3,588,259.61","3,300,463.61","3,468,394.08"
OECD,,"15,428,681.00","15,384,311.00","15,429,607.00","15,496,619.00","15,711,480.00","15,912,490.00","16,349,362.00","16,427,351.00","16,385,030.00","16,419,860.00","16,749,138.00","16,644,635.00","16,731,902.00","16,929,376.00","17,101,268.00","17,135,018.00","17,078,846.00","17,285,506.00","16,932,468.00","16,017,360.00","16,477,362.00","16,302,983.00","16,093,531.00","16,207,306.00","16,029,380.00","15,907,219.00","15,776,248.00","15,775,994.00","15,879,444.00","15,463,830.00","14,360,118.00","14,920,010.00"
OECD America,,"7,702,241.00","7,637,555.00","7,781,492.50","7,897,257.00","8,058,247.00","8,147,523.00","8,396,086.00","8,509,844.00","8,588,773.00","8,635,253.00","8,878,529.00","8,747,710.00","8,816,950.00","8,901,451.00","9,044,115.00","9,068,934.00","9,015,714.00","9,188,656.00","9,004,589.00","8,497,135.00","8,734,689.00","8,619,392.00","8,381,504.50","8,577,040.00","8,630,205.00","8,493,335.00","8,366,309.50","8,324,702.50","8,549,714.00","8,384,457.50","7,722,148.00","8,048,043.00"
OECD Asia Oceania,,"2,121,869.00","2,160,539.50","2,205,206.25","2,236,567.50","2,324,121.25","2,384,730.25","2,442,807.50","2,483,835.75","2,379,189.25","2,450,671.50","2,519,636.25","2,518,654.00","2,569,513.75","2,588,114.50","2,604,973.50","2,626,510.25","2,616,488.25","2,672,920.50","2,617,176.75","2,545,822.25","2,655,908.25","2,739,333.25","2,796,405.25","2,802,694.75","2,738,800.00","2,712,465.75","2,701,738.50","2,713,305.25","2,687,583.00","2,623,362.25","2,492,900.50","2,507,448.50"
OECD Europe,,"5,604,571.00","5,586,217.00","5,442,909.00","5,362,795.00","5,329,112.00","5,380,236.50","5,510,468.50","5,433,671.00","5,417,068.00","5,333,935.00","5,350,972.00","5,378,271.50","5,345,438.00","5,439,810.50","5,452,178.50","5,439,574.00","5,446,644.00","5,423,929.00","5,310,702.00","4,974,403.00","5,086,764.50","4,944,258.00","4,915,621.00","4,827,570.50","4,660,374.50","4,701,418.50","4,708,200.50","4,737,987.00","4,642,147.00","4,456,010.50","4,145,069.25","4,364,518.00"
Argentina,,"215,257.63","222,135.43","227,110.91","230,997.42","234,334.07","235,783.61","249,469.92","250,396.00","256,460.69","261,572.09","264,357.07","265,627.00","255,043.33","270,463.91","279,563.78","286,456.64","296,980.04","311,736.47","313,921.12","293,739.52","306,004.42","315,900.69","317,142.64","324,591.43","324,309.56","328,855.76","330,914.60","331,875.90","329,047.62",,,
Bangladesh,,,,,,"45,926.15",,,,,,,"84,906.86",,,,"99,442.24",,,,,,,,,,,,,,,,
