"Combined unit of measure: Kilogrammes of CO2-equivalent per 1 000 US dollars, Thousands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Time period,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
European Union (28 countries),,,0.42,0.41,0.4,0.39,0.38,0.38,0.36,0.35,0.33,0.32,0.32,0.31,0.31,0.3,0.29,0.28,0.27,0.26,0.26,0.26,0.24,0.24,0.24,0.22,0.22,0.21,0.21,0.2,0.19,,
European Union (27 countries from 01/02/2020),,..,0.41,0.4,0.39,0.38,0.38,0.38,0.36,0.35,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.27,0.27,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.19,0.19,0.19
OECD,,0.49,0.48,0.47,0.47,0.46,0.46,0.45,0.44,0.43,0.41,0.41,0.4,0.39,0.39,0.38,0.37,0.36,0.35,0.34,0.34,0.34,0.33,0.32,0.32,0.31,0.3,0.29,0.28,0.28,0.26,0.26,0.25
OECD America,,0.63,0.62,0.61,0.6,0.59,0.58,0.58,0.56,0.54,0.52,0.52,0.5,0.5,0.49,0.48,0.47,0.45,0.45,0.44,0.42,0.42,0.41,0.39,0.39,0.38,0.37,0.36,0.35,0.35,0.33,0.32,0.31
OECD Asia Oceania,,0.4,0.39,0.39,0.39,0.4,0.39,0.39,0.39,0.37,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.33,0.33,0.34,0.34,0.33,0.32,0.31,0.3,0.3,0.29,0.28,0.28,0.27
OECD Europe,,0.41,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.33,0.32,0.31,0.31,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.23,0.22,0.21,0.21,0.2,0.2,0.19,0.18,0.18
Argentina,,0.48,0.51,0.48,0.45,0.43,0.41,0.44,0.42,0.4,0.39,0.41,0.42,0.42,0.5,0.48,0.45,0.43,0.42,0.4,0.4,0.38,0.37,0.38,0.37,0.38,0.38,0.39,0.38,0.39,,,
Bangladesh,,,,,,0.26,,,,,,,0.34,,,,0.33,,,,,,,,,,,,,,,,
Belarus,,1.63,1.58,1.58,1.52,1.48,1.51,1.48,1.33,1.21,1.13,1.02,0.96,0.91,0.87,0.81,0.76,0.72,0.65,0.61,0.6,0.57,0.54,0.53,0.54,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51
Brazil,,0.33,0.36,0.37,0.38,0.37,0.36,0.35,0.35,0.36,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.35,0.33,0.33,0.32,0.32,0.32,0.33,0.33,0.34,0.35,0.35,,,,,
Bulgaria,,0.86,0.78,0.79,0.85,0.82,0.82,0.79,0.87,0.79,0.77,0.73,0.74,0.67,0.69,0.63,0.6,0.57,0.57,0.52,0.47,0.48,0.51,0.47,0.43,0.45,0.46,0.42,0.43,0.39,0.36,0.34,0.36
China (People’s Republic of),,..,..,..,..,1.53,..,..,..,..,..,..,..,..,..,..,1.13,..,..,..,..,0.87,,0.83,,0.74,,,,,,,
Croatia,,,0.29,0.31,0.34,0.36,0.35,0.33,0.33,0.33,0.35,0.33,0.34,0.33,0.33,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.27,0.26,0.25,0.25,0.24,0.25,0.23,0.22,0.23,0.22
Cyprus,,0.41,0.41,0.44,0.42,0.43,0.41,0.42,0.42,0.41,0.4,0.39,0.38,0.37,0.38,0.37,0.36,0.35,0.35,0.34,0.34,0.32,0.31,0.3,0.3,0.32,0.31,0.31,0.3,0.27,0.26,0.26,0.26
India,,..,..,..,..,0.7,..,..,..,..,..,0.61,..,..,..,..,..,..,..,..,..,0.41,..,,,,,0.37,,,,,
Indonesia,,0.32,0.33,0.32,0.32,0.31,..,..,..,..,..,0.46,0.43,0.42,0.41,0.4,0.39,0.38,0.35,0.35,0.33,0.34,0.34,0.33,0.33,0.34,0.34,0.32,,,,,
Iran,,,,,,0.66,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,,1.84,2,1.98,1.98,1.94,2.01,1.91,1.85,1.95,1.69,1.78,1.49,1.45,1.4,1.3,1.2,1.14,1.05,1.01,0.98,0.98,0.88,0.86,0.83,0.85,0.85,0.84,0.86,0.86,0.76,0.73,0.71
Malta,,0.43,0.38,0.36,0.43,0.38,0.34,0.34,0.34,0.32,0.32,0.27,0.3,0.3,0.31,0.3,0.27,0.27,0.27,0.25,0.24,0.23,0.23,0.23,0.2,0.18,0.13,0.11,0.11,0.1,0.1,0.11,0.1
Peru,,,,,,0.44,,,,,,0.39,0.39,0.4,0.38,0.38,0.37,0.36,0.35,0.33,0.34,0.33,0.31,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,,
Romania,,0.81,0.7,0.75,0.78,0.76,0.76,0.74,0.75,0.7,0.63,0.58,0.56,0.54,0.55,0.49,0.47,0.44,0.42,0.37,0.34,0.34,0.35,0.34,0.3,0.28,0.27,0.26,0.25,0.24,0.22,0.22,0.22
Russia,,1.05,1.05,1.04,1.07,1.09,1.11,1.12,1.04,1.08,1.04,0.94,0.91,0.86,0.81,0.76,0.72,0.69,0.64,0.61,0.62,0.62,0.62,0.6,0.57,0.57,0.58,0.58,0.58,0.58,0.57,0.56,0.56
Saudi Arabia,,0.25,,,,,,,,,,0.34,,,,,,,,,,0.44,,0.39,,,,B  0.42,,,,,
South Africa,,0.94,..,..,..,1.01,..,..,..,..,..,1.05,1.03,1.02,1.03,1.01,0.96,0.9,0.9,0.87,0.92,0.84,0.81,0.81,0.79,0.75,0.74,0.73,0.7,0.71,0.7,0.71,
Ukraine,,1.22,1.21,1.26,1.3,1.44,1.52,1.55,1.55,1.52,1.43,1.28,1.23,1.13,1.05,0.95,0.92,0.89,0.82,0.78,0.8,0.8,0.8,0.78,0.76,0.75,0.73,0.76,0.71,0.72,0.69,0.68,0.67
